CityCode,CityName,LTLACode,LTLAName,UTLACode,UTLAName,RegionCode,RegionName,MSOACode,MSOAName
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02001957,Birmingham 131
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002074,Sandwell 032
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002078,Sandwell 036
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002079,Sandwell 037
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002081,Solihull 001
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002082,Solihull 002
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002083,Solihull 003
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002084,Solihull 004
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002085,Solihull 005
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002086,Solihull 006
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002087,Solihull 007
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002088,Solihull 008
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002089,Solihull 009
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02002148,Walsall 039
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006698,Bromsgrove 003
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006699,Bromsgrove 004
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006700,Bromsgrove 005
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006807,Birmingham 132
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006809,Birmingham 133
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006895,Birmingham 134
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006896,Birmingham 135
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006897,Birmingham 136
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006898,Birmingham 137
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006899,Birmingham 138
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006900,Birmingham 139
J01000007,Birmingham,E08000025,Birmingham,E08000025,Birmingham,E12000005,West Midlands,E02006901,Birmingham 140
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002199,Bradford 017
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002201,Bradford 019
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002206,Bradford 024
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002208,Bradford 026
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002209,Bradford 027
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002210,Bradford 028
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002211,Bradford 029
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002212,Bradford 030
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002214,Bradford 032
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002215,Bradford 033
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002216,Bradford 034
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002217,Bradford 035
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002218,Bradford 036
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002219,Bradford 037
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002220,Bradford 038
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002221,Bradford 039
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002222,Bradford 040
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002223,Bradford 041
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002224,Bradford 042
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002226,Bradford 044
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002227,Bradford 045
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002228,Bradford 046
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002229,Bradford 047
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002230,Bradford 048
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002231,Bradford 049
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002232,Bradford 050
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002233,Bradford 051
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002234,Bradford 052
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002235,Bradford 053
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002236,Bradford 054
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002237,Bradford 055
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002238,Bradford 056
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002239,Bradford 057
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002240,Bradford 058
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002241,Bradford 059
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002242,Bradford 060
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002243,Bradford 061
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002271,Kirklees 001
