CityName,CityCode,Date,NewCasesBySpecimenDateRollingSum
Cambridge,J01000019,2021-01-16,497
Cambridge,J01000019,2021-01-23,428
Cambridge,J01000019,2021-01-30,270
Cambridge,J01000019,2021-02-06,210
Cambridge,J01000019,2021-02-13,113
Cambridge,J01000019,2021-02-20,85
Cambridge,J01000019,2021-02-27,89
Cambridge,J01000019,2021-03-06,25
Cambridge,J01000019,2021-03-13,43
Cambridge,J01000019,2021-03-20,35
Cambridge,J01000019,2021-03-27,35
Cambridge,J01000019,2021-04-03,21
Cambridge,J01000019,2021-04-10,28
Cambridge,J01000019,2021-04-17,49
Cambridge,J01000019,2021-04-24,88
Cambridge,J01000019,2021-05-01,30
Cambridge,J01000019,2021-05-08,13
Cambridge,J01000019,2021-05-15,14
Cambridge,J01000019,2021-05-29,17
Cambridge,J01000019,2021-06-05,13
Cambridge,J01000019,2021-06-12,38
Cambridge,J01000019,2021-06-19,122
Cambridge,J01000019,2021-06-26,307
Cambridge,J01000019,2021-07-03,535
Cambridge,J01000019,2021-07-10,384
Cambridge,J01000019,2021-07-17,525
Cambridge,J01000019,2021-07-24,467
Cambridge,J01000019,2021-07-31,488
Cambridge,J01000019,2021-08-07,637
Cambridge,J01000019,2021-08-14,554
Cambridge,J01000019,2021-08-21,503
Cambridge,J01000019,2021-08-28,386
Cambridge,J01000019,2021-09-04,411
Cambridge,J01000019,2021-09-11,342
Cambridge,J01000019,2021-09-18,343
Cambridge,J01000019,2021-09-25,407
Cambridge,J01000019,2021-10-02,314
Cambridge,J01000019,2021-10-09,358
Cambridge,J01000019,2021-10-16,507
Cambridge,J01000019,2021-10-23,530
Cambridge,J01000019,2021-10-30,518
Cambridge,J01000019,2021-11-06,487
Cambridge,J01000019,2021-11-13,474
Cambridge,J01000019,2021-11-20,636
Cambridge,J01000019,2021-11-27,838
Cambridge,J01000019,2021-12-04,1016
Cambridge,J01000019,2021-12-11,1296
Cambridge,J01000019,2021-12-18,2050
Cambridge,J01000019,2021-12-25,2096
Cambridge,J01000019,2022-01-01,2149
Cambridge,J01000019,2022-01-08,2254
Cambridge,J01000019,2022-01-15,1886
Cambridge,J01000019,2022-01-22,2575
Cambridge,J01000019,2022-01-29,2802
Cambridge,J01000019,2022-02-05,2366
Cambridge,J01000019,2022-02-12,1558
Cambridge,J01000019,2022-02-19,1069
Cambridge,J01000019,2022-02-26,849
