CityName,CityCode,MSOAName,MSOACode,SunshineHours,Time
Birmingham,J01000007,Birmingham 016,E02001842,285.5485902054313,2020-05
Birmingham,J01000007,Birmingham 016,E02001842,170.71086404944757,2020-06
Birmingham,J01000007,Birmingham 016,E02001842,151.24464997166598,2020-07
Birmingham,J01000007,Birmingham 016,E02001842,143.14593235692078,2020-08
Birmingham,J01000007,Birmingham 016,E02001842,177.7958395973779,2020-09
Birmingham,J01000007,Birmingham 016,E02001842,61.756028253071115,2020-10
Birmingham,J01000007,Birmingham 016,E02001842,59.148751422026535,2020-11
Birmingham,J01000007,Birmingham 016,E02001842,48.55849893003794,2020-12
Birmingham,J01000007,Birmingham 016,E02001842,35.56001689814056,2021-01
Birmingham,J01000007,Birmingham 016,E02001842,71.97395659824105,2021-02
Birmingham,J01000007,Birmingham 016,E02001842,98.49794076760055,2021-03
Birmingham,J01000007,Birmingham 016,E02001842,210.26510929432825,2021-04
Birmingham,J01000007,Birmingham 016,E02001842,146.44680748323427,2021-05
Birmingham,J01000007,Birmingham 016,E02001842,186.7771405347596,2021-06
Birmingham,J01000007,Birmingham 016,E02001842,204.13942129437032,2021-07
Birmingham,J01000007,Birmingham 016,E02001842,107.40116929145196,2021-08
Birmingham,J01000007,Birmingham 016,E02001842,145.43352011974898,2021-09
Birmingham,J01000007,Birmingham 016,E02001842,95.3760098568206,2021-10
Birmingham,J01000007,Birmingham 016,E02001842,49.96229675180946,2021-11
Birmingham,J01000007,Birmingham 016,E02001842,24.256283939485,2021-12
Birmingham,J01000007,Birmingham 017,E02001843,46.81472102676167,2019-01
Birmingham,J01000007,Birmingham 017,E02001843,113.47323945489887,2019-02
Birmingham,J01000007,Birmingham 017,E02001843,130.87838292361846,2019-03
Birmingham,J01000007,Birmingham 017,E02001843,157.33284772927837,2019-04
Birmingham,J01000007,Birmingham 017,E02001843,193.02678383610328,2019-05
Birmingham,J01000007,Birmingham 017,E02001843,138.3867492323293,2019-06
Birmingham,J01000007,Birmingham 017,E02001843,182.4839341396425,2019-07
Birmingham,J01000007,Birmingham 017,E02001843,200.1355471136748,2019-08
Birmingham,J01000007,Birmingham 017,E02001843,169.78740104029,2019-09
Birmingham,J01000007,Birmingham 017,E02001843,88.3019211587091,2019-10
Birmingham,J01000007,Birmingham 017,E02001843,46.79558742894601,2019-11
Birmingham,J01000007,Birmingham 017,E02001843,54.91437819069097,2019-12
Birmingham,J01000007,Birmingham 017,E02001843,50.19068333010246,2020-01
Birmingham,J01000007,Birmingham 017,E02001843,78.32331314051545,2020-02
Birmingham,J01000007,Birmingham 017,E02001843,147.38490716014704,2020-03
Birmingham,J01000007,Birmingham 017,E02001843,233.86379404431935,2020-04
Birmingham,J01000007,Birmingham 017,E02001843,286.6150884435344,2020-05
Birmingham,J01000007,Birmingham 017,E02001843,171.57883551304488,2020-06
