MSOACode,MSOAName,CityCode,CityName,background,building,road,water,barren,forest,agricultural
E02001888,Birmingham 062,J01000007,Birmingham,0.6895928987315003,0.1389344981018926,0.0769668632829693,0.0001890961553009,0.0273674441055512,0.0604262284829583,0.0065229711398272
E02001889,Birmingham 063,J01000007,Birmingham,0.6347392495989523,0.2053925764256453,0.0595401489541038,4.248386745939675e-07,8.42596704611369e-05,0.0904207163233214,0.0098226241888413
E02001890,Birmingham 064,J01000007,Birmingham,0.5522150154814632,0.1536419351999945,0.0378084624950445,0.0012320771304954,0.0039573662758707,0.2497731606791338,0.0013719827379975
E02001892,Birmingham 066,J01000007,Birmingham,0.6559510620884925,0.1287280708488928,0.0488313558966358,0.0007445457346534,0.0006027221679687,0.153376677251212,0.0117655660121445
E02001893,Birmingham 067,J01000007,Birmingham,0.7054548133621423,0.1293149942922982,0.0493220191560584,0.0014063655842877,0.0015487047242208,0.1128693250609353,8.37778200570504e-05
E02001895,Birmingham 069,J01000007,Birmingham,0.6674172710364973,0.1528288612903004,0.0618255507778114,0.0016901795293243,0.0007530266130474,0.1143716892725984,0.0011134214804206
E02001896,Birmingham 070,J01000007,Birmingham,0.5056568492542614,0.2593869295987216,0.0891550385052738,0.0101003148800169,0.0,0.1178407060339095,0.0178601617278167
E02001897,Birmingham 071,J01000007,Birmingham,0.5760681223068149,0.1894092051482836,0.1284827699804913,0.0075891877104758,0.0041038362894246,0.089147751190433,0.0051991273740766
E02001898,Birmingham 072,J01000007,Birmingham,0.7281167680481796,0.1425138222445205,0.0566163428405881,0.0061543282919173,3.5913613549852654e-05,0.0649224601700638,0.0016403647911806
E02001899,Birmingham 073,J01000007,Birmingham,0.6465228599382953,0.1366923599171256,0.0531163336981252,0.003564990993719,0.0,0.1560772060786183,0.0040262493741163
E02001900,Birmingham 074,J01000007,Birmingham,0.5560376026251908,0.1333698495272218,0.0585520937128985,0.0040261464008967,0.0001663974052853,0.2449792786886766,0.0028686316398299
E02001901,Birmingham 075,J01000007,Birmingham,0.6029137725039467,0.1648634678341564,0.0559631901083832,0.0040219756605711,0.0010057558049809,0.1671506259107836,0.0040812121771777
E02001902,Birmingham 076,J01000007,Birmingham,0.6201369642545391,0.1432712206849394,0.0788100826895658,1.5486108080190875e-05,0.0353826597416201,0.0950968935946956,0.0272866929265595
E02001903,Birmingham 077,J01000007,Birmingham,0.5251845634301975,0.3368930533660979,0.0942374209621893,0.0020957969416496,0.0,0.0388889935320845,0.0027001717677809
E02001904,Birmingham 078,J01000007,Birmingham,0.5463231844290264,0.2324837570954063,0.0764364532387397,0.0046467663918548,0.0260303278637539,0.1068014990101086,0.0072780119711101
E02001905,Birmingham 079,J01000007,Birmingham,0.568577747071279,0.1030472836124018,0.0239306284259416,0.021317351283206,0.0015140176704176,0.280803123598698,0.0008098483380558
E02001906,Birmingham 080,J01000007,Birmingham,0.6861081804547992,0.1317071209987396,0.0759286739556073,0.0017445756884044,0.0,0.1029762117733509,0.0015352371290986
E02001907,Birmingham 081,J01000007,Birmingham,0.6800297751519253,0.1232272051462246,0.060517147236981,0.0012157887198957,0.000296904661945,0.130412997829237,0.0043001812537911
E02001908,Birmingham 082,J01000007,Birmingham,0.4004105690603929,0.4367105317808286,0.1359301681835127,0.0,0.0,0.0220004513055951,0.0049482796696706
E02001909,Birmingham 083,J01000007,Birmingham,0.5463222035190516,0.2836277705983709,0.0875329421576402,0.0,0.0,0.0817533411776511,0.0007637425472861
E02001910,Birmingham 084,J01000007,Birmingham,0.6053901143593363,0.196587326503036,0.0825084648510017,0.0001264893182433,0.0149039466782371,0.0999212359437848,0.0005624223463606
E02001911,Birmingham 085,J01000007,Birmingham,0.660956354158055,0.13851535803847,0.0650464685295414,4.3758008845899474e-05,1.1437363935736332e-05,0.1348674040833057,0.0005592198178461
E02001913,Birmingham 087,J01000007,Birmingham,0.6154713279322575,0.1108947620057223,0.0376050313313802,0.0194250006424753,0.0014453419467859,0.2151585361413788,0.0
E02001914,Birmingham 088,J01000007,Birmingham,0.5314958844866071,0.0967099097467237,0.0212831839987759,0.0116839712116575,0.0002830821797595,0.3358222926267281,0.0027216757497479
E02001915,Birmingham 089,J01000007,Birmingham,0.5994363524315116,0.1713532771307991,0.0606660044665903,0.0026417870878648,8.049515375481829e-06,0.1643460647650227,0.0015484646028359
E02001916,Birmingham 090,J01000007,Birmingham,0.6172032794895794,0.1719426005105944,0.0710810086847412,0.0059107658771096,0.0375448843845627,0.0889161107094422,0.0074013503439702
