Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_2
2019-12-21,74,18,14,No data,3
2019-12-22,77,38,18,No data,4
2019-12-23,94,44,19,No data,3
2019-12-24,71,28,15,No data,3
2019-12-25,175,34,22,No data,8
2019-12-26,85,26,16,No data,8
2019-12-27,97,28,25,No data,15
2019-12-28,62,21,19,No data,9
2019-12-29,31,19,17,No data,11
2019-12-30,109,60,27,No data,17
2019-12-31,67,29,20,No data,8
2020-01-01,59,27,34,No data,25
2020-01-02,37,20,15,No data,7
2020-01-03,90,36,22,No data,5
2020-01-04,91,39,14,No data,4
2020-01-05,39,25,8,No data,4
2020-01-06,57,31,14,No data,5
2020-01-07,50,28,14,No data,6
2020-01-08,132,62,30,No data,6
2020-01-09,64,44,15,No data,No data
2020-01-10,121,52,26,11,6
2020-01-11,25,13,9,6,3
2020-01-12,51,19,7,4,2
2020-01-13,66,20,10,7,4
2020-01-14,48,20,12,9,5
2020-01-15,70,42,15,10,4
2020-01-16,65,15,15,9,5
2020-01-17,94,40,16,9,5
2020-01-18,139,47,24,13,7
2020-01-19,230,97,34,22,17
2020-01-20,225,148,32,25,20
2020-01-21,207,114,34,22,16
2020-01-22,217,109,32,22,18
2020-01-23,152,75,28,18,15
2020-01-24,151,69,28,19,15
2020-01-25,77,30,35,26,17
2020-01-26,55,19,22,18,12
2020-01-27,86,34,17,8,4
2020-01-28,80,44,18,8,4
2020-01-29,80,47,24,14,7
2020-01-30,68,29,11,7,4
2020-01-31,43,25,8,4,2
2020-02-01,48,20,18,14,7
2020-02-02,50,17,17,14,8
2020-02-03,79,33,19,13,6
2020-02-04,105,39,21,16,8
2020-02-05,205,122,43,29,18
2020-02-06,214,89,53,26,18
2020-02-07,105,35,43,27,22
2020-02-08,39,21,23,15,7
2020-02-09,16,8,8,7,4
2020-02-10,64,30,14,8,4
2020-02-11,53,22,20,11,5
2020-02-12,91,37,25,13,6
2020-02-13,94,34,21,8,5
2020-02-14,91,34,21,13,9
2020-02-15,27,8,6,3,2
2020-02-16,24,8,8,5,3
2020-02-17,50,22,18,11,6
2020-02-18,61,31,17,10,5
2020-02-19,66,43,14,11,6
2020-02-20,61,24,11,5,3
2020-02-21,44,26,20,14,8
2020-02-22,37,13,14,9,5
2020-02-23,50,18,15,7,4
2020-02-24,52,24,10,5,2
2020-02-25,71,34,No data,6,3
2020-02-26,95,40,No data,10,5
2020-02-27,105,38,No data,10,6
2020-02-28,73,25,No data,7,4
2020-02-29,34,15,11,8,4
2020-03-01,34,18,15,10,5
2020-03-02,135,71,28,11,6
2020-03-03,118,56,26,13,7
2020-03-04,No data,No data,No data,No data,No data
2020-03-05,No data,No data,No data,No data,No data
2020-03-06,202,104,42,22,14
2020-03-07,45,24,22,12,7
2020-03-08,38,14,13,7,4
2020-03-09,72,26,17,9,5
2020-03-10,53,26,16,5,3
2020-03-11,53,28,20,11,5
2020-03-12,48,23,18,10,5
2020-03-13,81,28,19,8,5
2020-03-14,39,13,14,7,5
2020-03-15,64,25,15,6,4
2020-03-16,88,40,29,13,6
2020-03-17,38,21,16,10,4
2020-03-18,90,35,14,4,3
2020-03-19,40,27,18,9,6
2020-03-20,19,21,16,10,6
2020-03-21,18,7,16,10,5
2020-03-22,19,13,19,15,9
2020-03-23,43,18,22,18,11
2020-03-24,53,19,21,26,18
2020-03-25,48,14,19,24,17
2020-03-26,32,26,19,32,23
2020-03-27,18,37,30,39,29
2020-03-28,7,28,16,17,11
2020-03-29,8,28,9,12,6
2020-03-30,27,30,10,9,5
2020-03-31,21,32,12,11,6
2020-04-01,57,28,15,13,8
2020-04-02,37,14,15,11,6
2020-04-03,58,25,19,14,8
2020-04-04,31,14,14,12,9
2020-04-05,15,8,16,15,11
2020-04-06,39,14,24,11,6
2020-04-07,57,42,24,15,9
2020-04-08,74,33,36,21,13
2020-04-09,18,25,29,25,15
2020-04-10,18,10,29,22,16
2020-04-11,35,14,38,29,21
2020-04-12,17,13,19,16,12
2020-04-13,7,7,20,14,7
2020-04-14,35,15,22,15,8
2020-04-15,43,18,29,20,12
2020-04-16,36,18,41,37,26
2020-04-17,11,5,20,13,7
2020-04-18,13,10,17,11,6
2020-04-19,10,18,19,12,7
2020-04-20,11,19,26,17,8
2020-04-21,13,12,32,21,10
2020-04-22,14,29,31,25,12
2020-04-23,15,27,30,20,10
2020-04-24,19,22,23,18,11
2020-04-25,16,5,19,14,10
2020-04-26,24,13,26,19,14
2020-04-27,24,13,19,13,7
2020-04-28,16,7,8,5,3
2020-04-29,24,10,11,7,4
2020-04-30,27,12,7,6,3
2020-05-01,43,19,12,6,4
2020-05-02,44,18,15,7,5
2020-05-03,28,18,17,12,9
2020-05-04,20,19,20,15,12
2020-05-05,13,5,16,8,4
2020-05-06,28,11,16,11,7
2020-05-07,46,15,28,18,11
2020-05-08,44,21,27,16,11
2020-05-09,28,24,27,20,15
2020-05-10,10,23,18,15,10
2020-05-11,20,36,13,10,5
2020-05-12,53,28,19,13,7
2020-05-13,19,28,10,8,4
2020-05-14,32,27,13,10,5
2020-05-15,49,24,18,10,5
2020-05-16,40,16,13,8,5
2020-05-17,25,15,14,10,6
2020-05-18,27,19,17,15,7
2020-05-19,44,26,12,10,4
2020-05-20,42,24,19,17,9
2020-05-21,37,20,14,13,5
2020-05-22,18,14,29,35,9
2020-05-23,16,8,18,13,6
2020-05-24,31,11,21,13,8
2020-05-25,26,13,11,7,4
2020-05-26,41,20,18,12,5
2020-05-27,28,15,19,13,6
2020-05-28,23,5,14,8,5
2020-05-29,22,4,14,8,3
2020-05-30,12,6,20,13,6
2020-05-31,12,11,17,11,6
2020-06-01,22,No data,15,11,4
2020-06-02,33,No data,18,13,5
2020-06-03,23,No data,12,9,5
2020-06-04,47,No data,13,8,4
2020-06-05,33,No data,11,8,3
2020-06-06,43,15,10,7,3
2020-06-07,21,19,10,7,5
2020-06-08,29,19,18,12,7
2020-06-09,38,7,20,12,7
2020-06-10,51,19,20,14,11
2020-06-11,18,25,16,11,7
2020-06-12,22,12,20,16,13
2020-06-13,27,9,18,14,10
2020-06-14,26,12,15,12,9
2020-06-15,39,15,15,13,8
2020-06-16,45,20,13,13,8
2020-06-17,42,25,No data,14,10
2020-06-18,47,23,No data,8,6
2020-06-19,37,22,9,11,5
2020-06-20,32,11,12,8,4
2020-06-21,20,9,14,10,5
2020-06-22,29,16,20,18,7
2020-06-23,44,20,24,20,8
2020-06-24,32,9,29,18,10
2020-06-25,31,12,25,17,8
2020-06-26,41,19,24,24,11
2020-06-27,20,8,10,7,4
2020-06-28,12,5,12,8,3
2020-06-29,25,12,17,13,5
2020-06-30,31,16,14,16,6
2020-07-01,40,24,7,7,3
2020-07-02,34,22,10,8,5
2020-07-03,22,18,9,10,4
2020-07-04,13,9,2,4,2
2020-07-05,9,3,7,8,3
2020-07-06,35,15,14,9,4
2020-07-07,45,24,13,9,5
2020-07-08,35,18,4,5,3
2020-07-09,27,27,5,5,2
2020-07-10,46,22,13,9,4
2020-07-11,31,14,10,6,3
2020-07-12,27,13,9,7,4
2020-07-13,35,21,7,9,3
2020-07-14,49,21,11,7,4
2020-07-15,46,21,9,6,3
2020-07-16,51,20,10,8,5
2020-07-17,39,21,12,15,6
2020-07-18,20,11,6,9,4
2020-07-19,21,10,11,7,3
2020-07-20,47,22,16,8,4
2020-07-21,44,25,17,11,5
2020-07-22,42,26,19,19,6
2020-07-23,29,19,13,15,5
2020-07-24,37,17,12,9,5
2020-07-25,23,11,7,7,3
2020-07-26,16,7,11,7,3
2020-07-27,33,12,10,6,3
2020-07-28,34,16,12,7,3
2020-07-29,44,23,13,8,3
2020-07-30,51,16,17,13,5
2020-07-31,34,12,27,20,8
2020-08-01,25,10,12,8,4
2020-08-02,25,9,11,6,3
