Date,NOx_1,NOx_2,PM2.5_1,PM2.5_2,PM10_1,PM10_2
2019-08-16,No data,24,No data,5,No data,9
2019-08-17,No data,16,No data,8,No data,16
2019-08-18,No data,10,No data,8,No data,18
2019-08-19,No data,30,No data,8,No data,17
2019-08-20,No data,36,No data,9,No data,14
2019-08-21,No data,20,No data,6,No data,8
2019-08-22,No data,21,No data,8,No data,13
2019-08-23,No data,40,No data,8,No data,12
2019-08-24,No data,41,No data,11,No data,18
2019-08-25,No data,28,No data,16,No data,25
2019-08-26,No data,26,No data,20,No data,26
2019-08-27,No data,52,No data,13,No data,18
2019-08-28,No data,26,No data,8,No data,12
2019-08-29,No data,15,No data,10,No data,16
2019-08-30,No data,11,No data,12,No data,18
2019-08-31,No data,23,No data,6,No data,12
2019-09-01,No data,26,No data,4,No data,11
2019-09-02,No data,24,No data,7,No data,10
2019-09-03,No data,25,No data,8,No data,10
2019-09-04,No data,41,No data,6,No data,12
2019-09-05,No data,47,No data,8,No data,18
2019-09-06,No data,40,No data,6,No data,15
2019-09-07,No data,65,No data,6,No data,10
2019-09-08,No data,23,No data,5,No data,10
2019-09-09,No data,62,No data,10,No data,15
2019-09-10,No data,42,No data,No data,No data,No data
2019-09-11,No data,No data,No data,No data,No data,No data
2019-09-12,No data,39,No data,7,No data,13
2019-09-13,No data,44,No data,8,No data,21
2019-09-14,No data,20,No data,8,No data,14
2019-09-15,No data,28,No data,10,No data,22
2019-09-16,No data,83,No data,8,No data,16
2019-09-17,No data,66,No data,8,No data,19
2019-09-18,No data,54,No data,10,No data,21
2019-09-19,No data,73,No data,14,No data,24
2019-09-20,No data,77,No data,15,No data,21
2019-09-21,No data,37,No data,14,No data,24
2019-09-22,No data,59,No data,18,No data,24
2019-09-23,No data,51,No data,11,No data,14
2019-09-24,No data,68,No data,10,No data,13
2019-09-25,No data,52,No data,9,No data,12
2019-09-26,No data,22,No data,10,No data,14
2019-09-27,No data,42,No data,10,No data,11
2019-09-28,No data,49,No data,11,No data,10
2019-09-29,No data,50,No data,13,No data,11
2019-09-30,No data,90,No data,8,No data,13
2019-10-01,No data,91,No data,7,No data,13
2019-10-02,No data,82,No data,7,No data,15
2019-10-03,No data,67,No data,7,No data,15
2019-10-04,No data,90,No data,8,No data,12
2019-10-05,No data,40,No data,8,No data,13
2019-10-06,No data,41,No data,7,No data,8
2019-10-07,No data,17,No data,9,No data,15
2019-10-08,No data,25,No data,11,No data,20
2019-10-09,No data,35,No data,10,No data,18
2019-10-10,No data,29,No data,11,No data,18
2019-10-11,No data,33,No data,10,No data,17
2019-10-12,No data,44,No data,No data,No data,14
2019-10-13,No data,81,No data,No data,No data,14
2019-10-14,No data,70,No data,No data,No data,16
2019-10-15,No data,96,No data,10,No data,16
2019-10-16,No data,40,No data,8,No data,15
2019-10-17,No data,27,No data,7,No data,15
2019-10-18,No data,106,No data,11,No data,16
2019-10-19,No data,88,No data,10,No data,15
2019-10-20,No data,45,No data,5,No data,10
2019-10-21,No data,82,No data,7,No data,15
2019-10-22,No data,29,No data,4,No data,11
2019-10-23,No data,27,No data,8,No data,14
2019-10-24,No data,54,No data,7,No data,14
2019-10-25,No data,93,No data,8,No data,11
2019-10-26,No data,50,No data,3,No data,11
2019-10-27,No data,40,No data,4,No data,12
2019-10-28,No data,183,No data,12,No data,27
2019-10-29,No data,177,No data,10,No data,21
2019-10-30,No data,164,No data,10,No data,21
2019-10-31,No data,94,No data,14,No data,24
2019-11-01,No data,74,No data,11,No data,12
2019-11-02,No data,99,No data,15,No data,22
2019-11-03,No data,68,No data,11,No data,15
2019-11-04,No data,120,No data,13,No data,16
2019-11-05,No data,122,No data,18,No data,28
2019-11-06,No data,117,No data,18,No data,26
2019-11-07,No data,113,No data,10,No data,14
2019-11-08,No data,152,No data,11,No data,23
2019-11-09,No data,124,No data,10,No data,20
2019-11-10,No data,76,No data,8,No data,20
2019-11-11,No data,46,No data,4,No data,9
2019-11-12,No data,96,No data,6,No data,13
2019-11-13,No data,149,No data,10,No data,16
2019-11-14,No data,114,No data,5,No data,13
2019-11-15,No data,106,No data,6,No data,11
2019-11-16,No data,113,No data,8,No data,13
2019-11-17,No data,125,No data,9,No data,14
2019-11-18,No data,165,No data,18,No data,23
2019-11-19,No data,120,No data,10,No data,17
2019-11-20,No data,52,No data,14,No data,21
2019-11-21,No data,78,No data,12,No data,26
2019-11-22,No data,150,No data,14,No data,20
2019-11-23,No data,110,No data,14,No data,20
2019-11-24,No data,86,No data,22,No data,25
2019-11-25,No data,151,No data,17,No data,20
2019-11-26,No data,123,No data,14,No data,15
2019-11-27,No data,164,No data,15,No data,19
2019-11-28,No data,120,No data,10,No data,15
2019-11-29,No data,271,No data,18,No data,27
2019-11-30,No data,237,No data,16,No data,26
2019-12-01,No data,189,No data,28,No data,35
2019-12-02,No data,239,No data,19,No data,29
2019-12-03,No data,111,No data,13,No data,22
2019-12-04,No data,38,No data,9,No data,18
2019-12-05,No data,22,No data,5,No data,12
2019-12-06,No data,40,No data,6,No data,10
2019-12-07,No data,20,No data,6,No data,9
2019-12-08,No data,17,No data,7,No data,16
2019-12-09,No data,97,No data,9,No data,20
2019-12-10,No data,26,No data,5,No data,11
2019-12-11,No data,47,No data,7,No data,16
2019-12-12,No data,92,No data,8,No data,14
2019-12-13,No data,75,No data,7,No data,12
2019-12-14,No data,37,No data,5,No data,18
2019-12-15,No data,24,No data,3,No data,10
2019-12-16,No data,41,No data,4,No data,12
2019-12-17,No data,73,No data,10,No data,19
2019-12-18,No data,62,No data,9,No data,15
2019-12-19,No data,64,No data,9,No data,13
2019-12-20,No data,70,No data,9,No data,14
2019-12-21,No data,57,No data,11,No data,15
2019-12-22,No data,55,No data,12,No data,14
2019-12-23,No data,41,No data,9,No data,18
2019-12-24,No data,98,No data,9,No data,12
2019-12-25,No data,38,No data,9,No data,13
2019-12-26,No data,50,No data,11,No data,15
2019-12-27,No data,29,No data,11,No data,13
2019-12-28,No data,117,No data,20,No data,27
2019-12-29,No data,110,No data,21,No data,27
2019-12-30,No data,96,No data,13,No data,24
2019-12-31,No data,166,No data,15,No data,20
2020-01-01,No data,33,No data,21,No data,25
2020-01-02,No data,32,No data,10,No data,18
2020-01-03,No data,51,No data,9,No data,18
2020-01-04,No data,28,No data,8,No data,14
2020-01-05,No data,12,No data,7,No data,11
2020-01-06,No data,24,No data,6,No data,12
2020-01-07,No data,17,No data,10,No data,17
2020-01-08,No data,54,No data,12,No data,30
2020-01-09,No data,99,No data,6,No data,8
2020-01-10,No data,52,No data,7,No data,14
2020-01-11,No data,15,No data,8,No data,9
2020-01-12,No data,20,No data,7,No data,12
2020-01-13,No data,18,No data,6,No data,12
2020-01-14,No data,37,No data,7,No data,14
2020-01-15,No data,23,No data,No data,No data,No data
2020-01-16,No data,22,No data,No data,No data,No data
2020-01-17,No data,64,No data,No data,No data,No data
2020-01-18,No data,62,No data,No data,No data,No data
2020-01-19,No data,94,No data,No data,No data,No data
2020-01-20,No data,56,No data,No data,No data,No data
2020-01-21,No data,61,No data,12,No data,21
2020-01-22,No data,75,No data,16,No data,18
2020-01-23,No data,70,No data,14,No data,16
2020-01-24,No data,64,No data,10,No data,12
2020-01-25,No data,28,No data,9,No data,13
2020-01-26,No data,29,No data,10,No data,15
2020-01-27,No data,36,No data,6,No data,12
2020-01-28,No data,62,No data,6,No data,11
2020-01-29,No data,32,No data,8,No data,14
2020-01-30,No data,24,No data,8,No data,17
2020-01-31,No data,26,No data,9,No data,14
2020-02-01,No data,27,No data,10,No data,22
2020-02-02,No data,21,No data,8,No data,18
2020-02-03,No data,35,No data,7,No data,19
2020-02-04,No data,72,No data,7,No data,20
2020-02-05,No data,No data,No data,11,No data,24
2020-02-06,No data,No data,No data,16,No data,33
2020-02-07,No data,59,No data,15,No data,28
2020-02-08,No data,11,No data,6,No data,16
2020-02-09,No data,14,No data,7,No data,15
2020-02-10,No data,32,No data,5,No data,19
2020-02-11,No data,36,No data,5,No data,13
2020-02-12,No data,46,No data,7,No data,16
2020-02-13,No data,132,No data,7,No data,13
2020-02-14,No data,41,No data,10,No data,19
2020-02-15,No data,13,No data,7,No data,15
2020-02-16,No data,9,No data,9,No data,22
2020-02-17,No data,36,No data,8,No data,22
2020-02-18,No data,36,No data,5,No data,16
2020-02-19,No data,30,No data,5,No data,13
2020-02-20,No data,44,No data,6,No data,13
2020-02-21,No data,16,No data,8,No data,16
2020-02-22,No data,24,No data,7,No data,18
2020-02-23,No data,27,No data,5,No data,14
2020-02-24,No data,50,No data,4,No data,9
2020-02-25,No data,58,No data,6,No data,14
2020-02-26,No data,53,No data,4,No data,15
2020-02-27,No data,67,No data,4,No data,16
2020-02-28,No data,29,No data,5,No data,10
2020-02-29,No data,16,No data,7,No data,14
2020-03-01,No data,15,No data,7,No data,21
2020-03-02,No data,47,No data,6,No data,15
2020-03-03,No data,57,No data,6,No data,15
2020-03-04,No data,112,No data,13,No data,30
2020-03-05,No data,135,No data,21,No data,40
2020-03-06,No data,74,No data,13,No data,27
2020-03-07,No data,13,No data,7,No data,15
2020-03-08,No data,14,No data,7,No data,17
2020-03-09,No data,26,No data,6,No data,15
2020-03-10,No data,33,No data,9,No data,17
2020-03-11,No data,26,No data,5,No data,14
2020-03-12,No data,23,No data,6,No data,17
2020-03-13,No data,60,No data,7,No data,20
2020-03-14,No data,13,No data,8,No data,12
2020-03-15,No data,20,No data,6,No data,18
2020-03-16,No data,25,No data,6,No data,16
2020-03-17,No data,26,No data,9,No data,18
2020-03-18,No data,49,No data,8,No data,22
2020-03-19,No data,96,No data,9,No data,22
2020-03-20,No data,80,No data,9,No data,21
2020-03-21,No data,22,No data,4,No data,16
2020-03-22,No data,15,No data,14,No data,24
2020-03-23,No data,39,No data,15,No data,26
2020-03-24,No data,19,No data,18,No data,28
2020-03-25,No data,41,No data,19,No data,34
2020-03-26,No data,59,No data,25,No data,40
2020-03-27,No data,43,No data,27,No data,35
2020-03-28,No data,26,No data,5,No data,15
2020-03-29,No data,15,No data,3,No data,14
2020-03-30,No data,37,No data,4,No data,14
2020-03-31,No data,44,No data,7,No data,17
2020-04-01,No data,35,No data,6,No data,15
2020-04-02,No data,25,No data,7,No data,16
2020-04-03,No data,26,No data,6,No data,17
2020-04-04,No data,13,No data,8,No data,13
2020-04-05,No data,8,No data,9,No data,17
2020-04-06,No data,16,No data,10,No data,21
2020-04-07,No data,22,No data,11,No data,23
2020-04-08,No data,48,No data,11,No data,22
2020-04-09,No data,32,No data,10,No data,21
2020-04-10,No data,35,No data,27,No data,No data
2020-04-11,No data,28,No data,25,No data,No data
2020-04-12,No data,15,No data,14,No data,No data
2020-04-13,No data,20,No data,6,No data,No data
2020-04-14,No data,28,No data,10,No data,No data
2020-04-15,No data,34,No data,16,No data,29
2020-04-16,No data,39,No data,13,No data,23
2020-04-17,No data,30,No data,9,No data,18
2020-04-18,No data,23,No data,8,No data,18
2020-04-19,No data,13,No data,9,No data,17
2020-04-20,No data,25,No data,6,No data,18
2020-04-21,No data,27,No data,11,No data,23
2020-04-22,No data,33,No data,15,No data,30
2020-04-23,No data,37,No data,13,No data,23
2020-04-24,No data,46,No data,12,No data,20
2020-04-25,No data,31,No data,23,No data,30
2020-04-26,No data,24,No data,17,No data,24
2020-04-27,No data,35,No data,5,No data,12
2020-04-28,No data,27,No data,6,No data,15
2020-04-29,No data,24,No data,9,No data,12
2020-04-30,No data,13,No data,8,No data,10
2020-05-01,No data,29,No data,8,No data,15
2020-05-02,No data,24,No data,8,No data,13
2020-05-03,No data,21,No data,11,No data,14
2020-05-04,No data,41,No data,12,No data,19
2020-05-05,No data,29,No data,8,No data,14
2020-05-06,No data,42,No data,11,No data,18
2020-05-07,No data,43,No data,18,No data,31
2020-05-08,No data,32,No data,15,No data,21
2020-05-09,No data,28,No data,9,No data,13
2020-05-10,No data,26,No data,7,No data,17
2020-05-11,No data,37,No data,5,No data,12
2020-05-12,No data,31,No data,6,No data,13
2020-05-13,No data,40,No data,5,No data,12
2020-05-14,No data,33,No data,6,No data,12
2020-05-15,No data,34,No data,7,No data,13
2020-05-16,No data,20,No data,8,No data,14
2020-05-17,No data,13,No data,12,No data,17
2020-05-18,No data,20,No data,13,No data,17
2020-05-19,No data,27,No data,13,No data,20
