Date,NOx_1,NOx_2,PM2.5_1,PM10_1,PM10_2
2019-10-27,40,57,5,9,11
2019-10-28,37,54,7,12,16
2019-10-29,27,20,4,9,11
2019-10-30,22,22,14,21,23
2019-10-31,32,31,22,28,27
2019-11-01,14,52,5,8,9
2019-11-02,6,34,9,19,26
2019-11-03,44,69,6,10,13
2019-11-04,83,57,6,12,13
2019-11-05,29,58,8,10,12
2019-11-06,29,60,8,13,17
2019-11-07,25,62,4,7,13
2019-11-08,51,81,9,12,17
2019-11-09,33,56,9,12,14
2019-11-10,46,54,13,16,18
2019-11-11,13,37,6,11,16
2019-11-12,11,42,5,10,14
2019-11-13,24,58,5,10,18
2019-11-14,43,64,6,8,12
2019-11-15,27,62,8,11,15
2019-11-16,40,56,10,12,16
2019-11-17,38,86,16,19,23
2019-11-18,64,85,9,13,18
2019-11-19,70,62,9,13,18
2019-11-20,15,17,7,14,19
2019-11-21,18,26,13,18,18
2019-11-22,14,23,6,14,18
2019-11-23,21,34,7,11,14
2019-11-24,22,54,11,16,16
2019-11-25,23,50,6,11,15
2019-11-26,17,41,8,16,19
2019-11-27,27,61,4,8,12
2019-11-28,28,92,7,11,20
2019-11-29,56,64,8,14,20
2019-11-30,22,21,7,11,17
2019-12-01,18,44,6,9,16
2019-12-02,55,114,16,20,28
2019-12-03,169,149,17,23,28
2019-12-04,114,105,17,20,23
2019-12-05,135,141,19,25,28
2019-12-06,9,42,5,9,12
2019-12-07,18,55,5,11,17
2019-12-08,7,28,9,18,23
2019-12-09,36,64,8,13,19
2019-12-10,27,44,10,18,21
2019-12-11,37,82,6,14,18
2019-12-12,22,44,6,11,13
2019-12-13,15,52,8,16,23
2019-12-14,12,41,8,18,24
2019-12-15,11,32,7,17,20
2019-12-16,32,46,5,10,13
2019-12-17,56,97,8,10,12
2019-12-18,36,38,8,16,18
2019-12-19,15,30,12,28,30
2019-12-20,37,66,4,8,11
2019-12-21,11,41,9,19,22
2019-12-22,11,58,6,12,17
2019-12-23,19,47,8,18,23
2019-12-24,6,32,11,20,25
2019-12-25,28,49,8,12,15
2019-12-26,8,38,9,17,20
2019-12-27,23,39,11,14,13
2019-12-28,17,40,12,15,15
2019-12-29,38,63,14,17,18
2019-12-30,65,100,18,22,28
2019-12-31,25,31,21,25,27
2020-01-01,22,26,25,29,25
2020-01-02,19,41,8,14,15
2020-01-03,21,63,8,15,19
2020-01-04,16,61,6,11,16
2020-01-05,18,60,4,7,11
2020-01-06,14,42,7,14,18
2020-01-07,31,51,9,17,22
2020-01-08,26,65,9,14,21
2020-01-09,23,46,7,14,19
2020-01-10,33,88,7,10,16
2020-01-11,18,32,9,20,26
2020-01-12,17,40,7,16,20
2020-01-13,11,28,7,15,19
2020-01-14,17,31,9,18,29
2020-01-15,27,67,6,14,20
2020-01-16,11,26,9,19,23
2020-01-17,20,59,5,10,15
2020-01-18,39,98,8,14,21
2020-01-19,34,105,10,16,25
2020-01-20,179,176,19,27,37
2020-01-21,200,188,22,28,36
2020-01-22,55,62,17,20,22
