Date,PM2.5_1,PM10_1,PM10_2,NOx_1,NOx_2
2020-07-22,6,15,17,22,52
2020-07-23,5,11,12,16,38
2020-07-24,5,10,12,18,41
2020-07-25,4,7,10,18,31
2020-07-26,4,8,8,10,23
2020-07-27,4,8,9,17,24
2020-07-28,4,9,12,15,27
2020-07-29,4,9,13,19,41
2020-07-30,6,14,16,30,46
2020-07-31,9,24,21,30,30
2020-08-01,5,9,9,14,23
2020-08-02,3,7,8,13,23
2020-08-03,4,9,11,24,48
2020-08-04,4,12,10,23,45
2020-08-05,3,9,8,12,25
2020-08-06,3,7,7,22,42
2020-08-07,6,14,14,39,67
2020-08-08,5,11,12,16,19
2020-08-09,12,20,23,9,16
2020-08-10,16,32,34,18,30
2020-08-11,27,41,41,23,30
2020-08-12,28,43,34,27,27
2020-08-13,18,30,25,17,33
2020-08-14,10,20,18,15,30
2020-08-15,12,18,18,12,21
2020-08-16,9,13,13,12,26
2020-08-17,10,15,14,21,46
2020-08-18,5,11,10,21,62
2020-08-19,5,10,6,30,25
2020-08-20,7,17,16,18,27
2020-08-21,6,16,14,11,28
2020-08-22,4,8,7,11,26
2020-08-23,4,7,7,9,21
2020-08-24,5,10,11,19,43
2020-08-25,3,6,No data,14,18
2020-08-26,5,9,No data,19,38
2020-08-27,7,13,No data,38,69
2020-08-28,6,10,11,26,41
2020-08-29,4,9,9,21,19
2020-08-30,5,10,12,18,31
2020-08-31,8,13,17,41,58
2020-09-01,11,23,22,48,102
2020-09-02,10,21,16,27,82
2020-09-03,4,7,10,15,41
2020-09-04,7,15,17,18,56
2020-09-05,8,13,14,22,40
2020-09-06,6,9,9,18,36
2020-09-07,5,10,10,23,62
2020-09-08,3,7,9,16,46
2020-09-09,5,10,11,21,40
2020-09-10,9,17,18,33,89
2020-09-11,6,14,14,23,55
2020-09-12,6,11,12,16,30
2020-09-13,6,11,12,12,30
2020-09-14,11,22,19,45,88
2020-09-15,15,29,27,63,74
2020-09-16,16,28,26,34,47
2020-09-17,8,20,18,18,37
2020-09-18,5,19,15,17,38
2020-09-19,7,17,18,13,22
2020-09-20,6,12,14,12,23
2020-09-21,No data,No data,No data,No data,No data
2020-09-22,No data,No data,No data,No data,No data
2020-09-23,8,12,12,23,44
2020-09-24,3,7,7,30,47
2020-09-25,4,9,8,26,27
2020-09-26,5,12,11,22,22
2020-09-27,8,15,14,21,31
2020-09-28,11,20,20,58,113
2020-09-29,10,15,18,45,102
2020-09-30,8,13,11,40,50
2020-10-01,6,11,15,33,96
2020-10-02,7,13,14,18,34
2020-10-03,11,15,15,29,50
2020-10-04,3,5,5,16,20
2020-10-05,7,11,12,22,59
2020-10-06,4,8,10,24,65
2020-10-07,6,11,12,22,59
2020-10-08,4,7,10,34,61
2020-10-09,6,10,10,32,69
2020-10-10,4,7,8,26,43
2020-10-11,4,7,9,29,56
2020-10-12,7,12,12,36,77
2020-10-13,6,11,13,46,88
2020-10-14,8,14,19,23,67
2020-10-15,4,10,11,31,76
2020-10-16,5,11,14,31,82
2020-10-17,7,11,14,40,61
2020-10-18,11,14,15,26,59
2020-10-19,16,23,20,42,66
2020-10-20,8,14,14,28,41
2020-10-21,10,16,20,46,90
2020-10-22,4,8,13,25,77
2020-10-23,7,12,14,47,102
2020-10-24,4,8,7,16,36
2020-10-25,3,6,7,15,35
2020-10-26,5,10,11,23,54
2020-10-27,5,10,10,30,50
2020-10-28,5,10,12,20,71
2020-10-29,6,11,10,28,62
2020-10-30,6,9,12,34,69
2020-10-31,6,11,11,15,27
2020-11-01,7,13,13,8,22
2020-11-02,4,8,9,10,39
2020-11-03,6,12,13,27,83
2020-11-04,17,27,39,136,222
2020-11-05,35,46,69,80,195
2020-11-06,30,36,44,55,101
2020-11-07,38,45,51,72,102
2020-11-08,39,44,44,52,88
2020-11-09,18,24,24,60,71
2020-11-10,10,16,18,47,78
2020-11-11,7,12,12,35,28
2020-11-12,4,9,11,17,50
2020-11-13,6,13,15,22,64
2020-11-14,6,9,11,19,19
2020-11-15,4,8,8,8,21
2020-11-16,4,8,11,16,45
2020-11-17,2,5,7,13,39
2020-11-18,6,12,13,13,29
2020-11-19,6,12,14,47,88
2020-11-20,7,12,14,41,82
2020-11-21,3,4,5,14,39
2020-11-22,8,13,15,29,78
2020-11-23,9,14,18,55,117
2020-11-24,7,13,12,26,31
2020-11-25,13,19,22,54,133
2020-11-26,18,26,38,122,206
2020-11-27,20,28,40,122,211
2020-11-28,25,30,35,51,62
2020-11-29,26,29,28,31,54
2020-11-30,12,15,15,31,66
2020-12-01,9,17,25,87,146
2020-12-02,13,20,23,77,149
2020-12-03,6,9,9,53,74
2020-12-04,4,6,6,35,70
