Date,PM2.5,PM10,NOx
2021-02-09,5,10,30
2021-02-10,7,17,51
2021-02-11,10,21,31
2021-02-12,13,23,20
2021-02-13,11,21,18
2021-02-14,10,15,15
2021-02-15,10,15,23
2021-02-16,6,10,20
2021-02-17,7,12,17
2021-02-18,5,10,16
2021-02-19,6,12,12
2021-02-20,10,20,11
2021-02-21,7,11,16
2021-02-22,7,11,37
2021-02-23,6,11,13
2021-02-24,5,8,13
2021-02-25,8,15,32
2021-02-26,13,21,130
2021-02-27,23,33,130
2021-02-28,27,37,68
2021-03-01,26,36,64
2021-03-02,24,33,63
2021-03-03,46,58,62
2021-03-04,12,20,37
2021-03-05,7,22,37
2021-03-06,25,40,49
2021-03-07,33,43,56
2021-03-08,22,34,87
2021-03-09,14,22,66
2021-03-10,7,10,14
2021-03-11,6,12,11
2021-03-12,4,8,13
2021-03-13,5,10,8
2021-03-14,8,14,10
2021-03-15,13,24,23
2021-03-16,11,20,35
2021-03-17,17,31,86
2021-03-18,16,26,74
2021-03-19,5,10,25
2021-03-20,10,14,21
2021-03-21,9,14,22
2021-03-22,8,15,25
2021-03-23,9,17,14
2021-03-24,5,11,14
2021-03-25,5,11,14
2021-03-26,5,11,11
2021-03-27,7,15,7
2021-03-28,2,3,6
2021-03-29,2,5,9
2021-03-30,15,27,47
2021-03-31,23,43,64
2021-04-01,6,13,19
2021-04-02,7,13,19
2021-04-03,12,22,24
2021-04-04,19,27,26
2021-04-05,4,11,9
2021-04-06,5,17,26
2021-04-07,7,17,41
2021-04-08,5,12,15
2021-04-09,6,14,21
2021-04-10,9,13,25
2021-04-11,5,10,17
2021-04-12,8,18,55
2021-04-13,11,23,65
2021-04-14,11,22,52
2021-04-15,8,18,45
2021-04-16,13,27,52
2021-04-17,19,30,41
2021-04-18,22,32,26
2021-04-19,16,30,42
2021-04-20,27,45,59
2021-04-21,14,29,21
2021-04-22,9,23,36
2021-04-23,10,24,42
2021-04-24,11,22,27
2021-04-25,9,13,12
2021-04-26,15,27,31
2021-04-27,8,17,23
2021-04-28,10,18,28
2021-04-29,6,12,29
2021-04-30,8,15,35
2021-05-01,9,13,25
2021-05-02,14,19,28
2021-05-03,6,8,12
2021-05-04,3,6,19
2021-05-05,6,11,45
2021-05-06,3,7,22
2021-05-07,5,9,34
2021-05-08,3,5,24
2021-05-09,4,7,9
2021-05-10,5,11,13
2021-05-11,5,10,24
2021-05-12,7,10,24
2021-05-13,9,15,38
2021-05-14,10,15,25
2021-05-15,11,14,25
2021-05-16,5,8,20
2021-05-17,8,12,32
2021-05-18,4,8,25
2021-05-19,6,10,39
2021-05-20,4,9,25
2021-05-21,2,4,19
2021-05-22,2,5,13
2021-05-23,4,7,11
2021-05-24,4,8,17
2021-05-25,6,14,17
2021-05-26,5,9,27
2021-05-27,11,17,36
2021-05-28,13,23,44
2021-05-29,14,19,28
2021-05-30,8,12,16
2021-05-31,18,24,15
2021-06-01,12,23,20
2021-06-02,16,30,23
2021-06-03,16,25,23
2021-06-04,5,12,20
2021-06-05,7,12,21
2021-06-06,5,8,13
2021-06-07,9,15,21
2021-06-08,6,12,17
2021-06-09,5,11,16
2021-06-10,3,9,12
2021-06-11,5,11,15
2021-06-12,6,12,15
2021-06-13,6,10,14
2021-06-14,5,12,17
2021-06-15,9,18,21
2021-06-16,5,12,14
2021-06-17,6,13,18
2021-06-18,6,12,26
2021-06-19,6,11,16
2021-06-20,8,11,14
2021-06-21,8,14,27
2021-06-22,10,16,21
2021-06-23,11,16,29
2021-06-24,7,11,17
2021-06-25,4,8,20
2021-06-26,4,6,19
2021-06-27,5,7,16
2021-06-28,7,12,29
2021-06-29,9,14,30
2021-06-30,13,21,25
2021-07-01,12,19,21
2021-07-02,15,22,21
2021-07-03,9,13,21
2021-07-04,4,7,13
2021-07-05,5,10,23
2021-07-06,3,7,19
2021-07-07,6,10,17
2021-07-08,8,13,23
2021-07-09,9,13,23
2021-07-10,12,16,30
2021-07-11,9,13,13
2021-07-12,6,9,28
2021-07-13,5,10,23
2021-07-14,5,10,17
2021-07-15,6,13,15
2021-07-16,7,14,27
2021-07-17,8,15,26
2021-07-18,9,16,22
2021-07-19,7,16,23
2021-07-20,9,21,28
2021-07-21,16,29,29
2021-07-22,16,30,30
2021-07-23,12,19,23
2021-07-24,8,14,16
2021-07-25,9,14,15
2021-07-26,13,21,17
2021-07-27,19,28,22
2021-07-28,5,10,20
2021-07-29,5,12,24
2021-07-30,5,8,31
2021-07-31,4,8,11
2021-08-01,4,8,13
2021-08-02,5,11,24
2021-08-03,8,13,29
2021-08-04,11,18,33
2021-08-05,7,14,21
2021-08-06,5,10,14
2021-08-07,5,8,10
2021-08-08,5,10,8
2021-08-09,6,11,20
2021-08-10,7,11,18
2021-08-11,6,12,16
2021-08-12,6,13,14
2021-08-13,7,17,11
2021-08-14,7,11,17
2021-08-15,6,10,14
2021-08-16,15,23,13
2021-08-17,4,8,11
2021-08-18,4,8,12
2021-08-19,7,11,20
2021-08-20,5,10,18
2021-08-21,4,7,26
2021-08-22,5,9,18
2021-08-23,5,10,23
2021-08-24,5,10,30
2021-08-25,9,16,29
2021-08-26,6,11,22
2021-08-27,4,9,22
2021-08-28,8,14,24
2021-08-29,8,12,24
2021-08-30,4,7,18
2021-08-31,4,10,22
2021-09-01,10,17,25
2021-09-02,10,18,22
2021-09-03,12,18,25
2021-09-04,13,18,20
2021-09-05,13,20,19
2021-09-06,29,46,44
2021-09-07,27,40,57
2021-09-08,16,41,37
2021-09-09,15,26,39
2021-09-10,10,15,21
2021-09-11,6,9,14
2021-09-12,5,8,22
2021-09-13,6,11,24
2021-09-14,6,10,41
2021-09-15,7,12,47
2021-09-16,11,18,41
2021-09-17,7,14,28
2021-09-18,7,12,20
2021-09-19,6,9,20
2021-09-20,9,15,61
2021-09-21,9,16,34
2021-09-22,7,14,31
2021-09-23,7,16,16
2021-09-24,6,11,18
2021-09-25,6,9,19
2021-09-26,6,10,12
2021-09-27,3,8,15
2021-09-28,4,9,20
2021-09-29,4,10,26
2021-09-30,4,8,15
2021-10-01,4,9,14
2021-10-02,4,8,22
2021-10-03,3,7,11
2021-10-04,3,7,20
2021-10-05,3,6,19
2021-10-06,4,10,26
2021-10-07,5,10,20
2021-10-08,9,15,24
2021-10-09,12,16,35
2021-10-10,6,10,21
2021-10-11,8,17,67
2021-10-12,6,12,45
2021-10-13,7,12,29
2021-10-14,7,13,19
2021-10-15,6,12,51
2021-10-16,12,19,43
2021-10-17,11,15,12
2021-10-18,13,19,27
2021-10-19,4,8,21
2021-10-20,7,13,54
2021-10-21,5,11,25
2021-10-22,5,11,25
2021-10-23,4,8,14
2021-10-24,5,9,11
2021-10-25,6,11,23
2021-10-26,4,10,19
2021-10-27,4,11,11
2021-10-28,6,13,12
2021-10-29,4,9,21
2021-10-30,4,8,18
2021-10-31,3,6,9
2021-11-01,4,7,19
2021-11-02,8,12,103
2021-11-03,9,13,89
2021-11-04,6,11,72
2021-11-05,30,38,161
2021-11-06,9,15,15
2021-11-07,11,25,12
2021-11-08,9,16,39
2021-11-09,5,8,20
2021-11-10,13,19,44
2021-11-11,14,20,40
2021-11-12,6,11,14
2021-11-13,8,15,42
2021-11-14,17,23,133
2021-11-15,20,26,73
2021-11-16,12,16,44
2021-11-17,10,22,22
2021-11-18,5,9,27
2021-11-19,4,9,25
2021-11-20,5,9,17
2021-11-21,4,8,29
2021-11-22,11,19,173
2021-11-23,11,16,95
2021-11-24,6,12,38
2021-11-25,7,15,80
2021-11-26,4,10,20
2021-11-27,4,8,12
2021-11-28,11,18,102
2021-11-29,24,28,181
2021-11-30,4,8,20
2021-12-01,4,10,28
2021-12-02,7,17,60
2021-12-03,10,16,62
2021-12-04,5,10,13
2021-12-05,5,8,35
2021-12-06,7,12,35
