Date,NOx_1,NOx_2,PM10_1,PM2.5_1
2020-04-28,20,10,10,6
2020-04-29,27,9,7,4
2020-04-30,17,7,9,3
2020-05-01,14,10,9,4
2020-05-02,13,11,8,4
2020-05-03,21,13,12,8
2020-05-04,20,13,17,12
2020-05-05,14,6,11,6
2020-05-06,22,11,12,6
2020-05-07,29,20,20,12
2020-05-08,16,16,15,11
2020-05-09,19,13,11,8
2020-05-10,10,5,15,5
2020-05-11,14,9,11,4
2020-05-12,27,13,14,7
2020-05-13,17,7,9,4
2020-05-14,32,16,12,6
2020-05-15,27,14,13,6
2020-05-16,17,10,9,5
2020-05-17,13,7,10,6
2020-05-18,19,7,11,5
2020-05-19,18,11,11,6
2020-05-20,32,22,20,11
2020-05-21,29,13,17,8
2020-05-22,9,5,24,9
2020-05-23,6,5,15,6
2020-05-24,10,7,16,9
2020-05-25,20,10,11,7
2020-05-26,17,13,11,6
2020-05-27,28,20,18,9
2020-05-28,25,13,15,7
2020-05-29,24,10,13,4
2020-05-30,15,7,11,5
2020-05-31,11,6,13,7
2020-06-01,22,11,14,5
2020-06-02,21,14,15,6
2020-06-03,25,13,10,5
2020-06-04,21,13,8,3
2020-06-05,11,7,12,4
2020-06-06,12,7,8,4
2020-06-07,11,7,9,5
2020-06-08,22,11,13,7
2020-06-09,24,12,17,10
2020-06-10,29,12,13,9
2020-06-11,20,7,13,7
2020-06-12,25,8,6,3
2020-06-13,19,9,13,9
2020-06-14,14,12,14,11
2020-06-15,30,18,19,14
2020-06-16,38,21,24,19
2020-06-17,35,18,19,14
2020-06-18,36,21,12,10
2020-06-19,34,12,8,5
2020-06-20,20,7,9,5
2020-06-21,12,5,10,6
2020-06-22,23,6,17,8
2020-06-23,26,10,14,7
2020-06-24,42,11,20,11
2020-06-25,35,12,23,12
2020-06-26,36,17,23,12
2020-06-27,20,6,8,4
2020-06-28,12,4,7,3
2020-06-29,27,8,6,3
2020-06-30,31,16,12,7
2020-07-01,25,17,9,5
2020-07-02,27,14,7,4
2020-07-03,28,8,7,3
2020-07-04,23,8,4,2
2020-07-05,7,5,11,4
2020-07-06,16,8,15,6
2020-07-07,35,14,8,4
2020-07-08,42,14,7,4
2020-07-09,32,14,5,3
2020-07-10,21,11,10,4
2020-07-11,15,12,7,4
2020-07-12,24,11,7,4
2020-07-13,29,11,7,3
2020-07-14,18,10,9,3
2020-07-15,28,12,8,4
2020-07-16,27,16,10,4
2020-07-17,32,13,No data,No data
2020-07-18,22,10,No data,No data
2020-07-19,11,10,No data,No data
2020-07-20,32,20,No data,No data
2020-07-21,39,22,No data,No data
2020-07-22,33,15,No data,No data
2020-07-23,27,12,No data,No data
2020-07-24,23,14,No data,No data
2020-07-25,18,10,No data,No data
2020-07-26,14,8,No data,No data
2020-07-27,21,8,No data,No data
2020-07-28,18,10,No data,No data
2020-07-29,18,13,No data,No data
2020-07-30,51,16,No data,No data
2020-07-31,42,18,No data,No data
2020-08-01,20,12,10,5
2020-08-02,11,8,7,3
2020-08-03,18,16,7,3
2020-08-04,31,10,9,4
2020-08-05,25,7,7,3
2020-08-06,39,12,10,5
2020-08-07,28,15,8,4
2020-08-08,20,8,11,5
2020-08-09,13,7,18,11
2020-08-10,31,15,25,13
2020-08-11,33,18,34,21
2020-08-12,35,14,22,13
2020-08-13,26,11,20,13
2020-08-14,24,11,14,8
2020-08-15,23,8,16,11
2020-08-16,16,7,7,5
2020-08-17,35,15,9,6
2020-08-18,29,15,8,4
2020-08-19,56,15,9,5
2020-08-20,22,7,17,7
2020-08-21,19,7,11,5
2020-08-22,21,9,9,5
2020-08-23,21,13,10,5
2020-08-24,26,12,9,4
2020-08-25,26,7,7,3
2020-08-26,36,No data,9,5
2020-08-27,49,No data,11,6
2020-08-28,27,12,7,3
2020-08-29,24,11,8,4
2020-08-30,23,20,8,4
2020-08-31,44,21,11,6
2020-09-01,65,25,14,7
2020-09-02,40,12,12,7
2020-09-03,27,13,9,4
2020-09-04,29,16,16,7
2020-09-05,24,11,12,6
2020-09-06,22,14,8,5
2020-09-07,46,14,9,5
2020-09-08,No data,14,8,4
2020-09-09,No data,12,11,5
2020-09-10,57,28,20,10
2020-09-11,30,11,14,6
2020-09-12,23,12,12,6
2020-09-13,19,7,9,5
2020-09-14,76,37,16,8
2020-09-15,83,62,23,11
2020-09-16,51,25,25,15
2020-09-17,36,13,21,9
2020-09-18,36,26,19,7
2020-09-19,23,9,17,7
2020-09-20,21,11,12,7
2020-09-21,70,52,25,14
2020-09-22,75,29,28,17
2020-09-23,38,20,6,4
2020-09-24,46,21,9,4
2020-09-25,26,12,8,3
2020-09-26,27,11,11,5
2020-09-27,29,20,14,7
2020-09-28,100,40,19,11
2020-09-29,98,31,17,11
2020-09-30,53,15,10,6
2020-10-01,53,33,12,6
2020-10-02,42,17,16,10
2020-10-03,34,14,6,4
2020-10-04,23,13,7,4
2020-10-05,49,27,9,5
2020-10-06,43,17,8,4
2020-10-07,41,22,14,6
2020-10-08,41,23,7,4
2020-10-09,39,21,10,5
2020-10-10,29,13,10,5
2020-10-11,51,30,8,5
2020-10-12,48,17,13,6
2020-10-13,70,58,9,5
2020-10-14,42,24,16,10
2020-10-15,46,46,11,6
2020-10-16,52,33,14,7
2020-10-17,49,41,13,8
2020-10-18,37,20,16,12
2020-10-19,54,16,20,14
2020-10-20,36,11,13,7
2020-10-21,55,21,16,9
2020-10-22,39,16,11,5
2020-10-23,53,22,12,7
