Date,NOx_1,NOx_2,NOx_3,PM10_2,PM10_3,PM2.5_1,PM2.5_2,PM2.5_3
2020-09-27,57,22,27,15,No data,7,8,No data
2020-09-28,170,61,109,13,No data,12,7,No data
2020-09-29,133,47,79,15,No data,8,10,No data
2020-09-30,110,33,38,11,No data,9,7,No data
2020-10-01,115,34,70,10,No data,9,6,No data
2020-10-02,66,29,32,16,No data,9,9,No data
2020-10-03,75,27,19,11,No data,10,8,No data
2020-10-04,56,18,17,6,No data,5,4,No data
2020-10-05,55,17,41,6,No data,3,3,No data
2020-10-06,67,17,40,5,No data,4,3,No data
2020-10-07,62,23,35,11,No data,5,5,No data
2020-10-08,90,27,40,5,No data,6,3,No data
2020-10-09,No data,19,38,7,No data,4,3,No data
2020-10-10,58,17,24,5,No data,2,3,No data
2020-10-11,62,17,25,5,No data,3,3,No data
2020-10-12,86,24,45,8,No data,4,4,No data
2020-10-13,78,28,46,7,No data,5,5,No data
2020-10-14,83,32,30,15,No data,9,9,No data
2020-10-15,76,34,24,9,No data,5,5,No data
2020-10-16,115,33,40,12,No data,7,6,No data
2020-10-17,90,28,24,12,No data,9,8,No data
2020-10-18,93,27,26,13,No data,11,9,No data
2020-10-19,97,28,39,21,No data,15,15,No data
2020-10-20,91,28,34,14,No data,10,8,No data
2020-10-21,135,36,52,17,No data,15,10,No data
2020-10-22,61,17,38,7,No data,6,4,No data
2020-10-23,126,33,59,12,No data,9,6,No data
2020-10-24,49,16,17,7,No data,6,4,No data
2020-10-25,38,13,15,6,No data,5,3,No data
2020-10-26,57,17,43,8,No data,8,5,No data
2020-10-27,85,25,39,8,No data,7,4,No data
2020-10-28,59,17,34,10,No data,6,5,No data
2020-10-29,63,20,34,8,No data,8,4,No data
2020-10-30,95,34,65,8,No data,9,5,No data
2020-10-31,56,23,19,11,No data,11,6,No data
2020-11-01,22,8,9,12,No data,9,6,No data
2020-11-02,34,9,25,6,No data,6,3,No data
2020-11-03,75,18,50,9,No data,6,5,No data
