Date,PM2.5_1,PM10_1,NOx_1,NOx_2
2019-09-15,10,11,11,13
2019-09-16,5,4,15,21
2019-09-17,9,12,26,31
2019-09-18,12,19,35,24
2019-09-19,12,19,54,39
2019-09-20,11,26,22,12
2019-09-21,14,27,22,12
2019-09-22,8,14,11,10
2019-09-23,7,16,16,11
2019-09-24,8,15,14,19
2019-09-25,7,11,12,24
2019-09-26,9,17,12,17
2019-09-27,8,17,9,21
2019-09-28,8,19,8,11
2019-09-29,8,13,5,12
2019-09-30,7,14,17,17
2019-10-01,8,14,12,18
2019-10-02,7,10,33,39
2019-10-03,6,13,25,12
2019-10-04,11,23,7,19
2019-10-05,9,16,31,24
2019-10-06,7,13,12,23
2019-10-07,8,16,16,22
2019-10-08,9,21,9,31
2019-10-09,7,12,9,33
2019-10-10,9,20,12,30
2019-10-11,7,14,12,30
2019-10-12,5,5,25,26
2019-10-13,5,6,12,23
2019-10-14,7,9,42,21
2019-10-15,7,10,58,53
2019-10-16,8,13,26,79
2019-10-17,5,11,11,15
2019-10-18,8,18,14,20
2019-10-19,10,15,54,71
2019-10-20,7,8,32,20
2019-10-21,7,10,31,39
2019-10-22,12,15,89,75
2019-10-23,16,19,95,68
2019-10-24,11,14,55,43
2019-10-25,9,22,10,9
2019-10-26,9,19,12,12
2019-10-27,7,10,28,45
2019-10-28,8,12,27,15
2019-10-29,8,13,22,12
2019-10-30,7,10,19,11
2019-10-31,7,9,47,25
2019-11-01,6,9,17,26
2019-11-02,10,21,11,23
2019-11-03,7,12,27,33
2019-11-04,6,13,18,42
2019-11-05,10,12,25,30
2019-11-06,9,11,35,No data
2019-11-07,8,12,61,79
2019-11-08,11,14,66,67
2019-11-09,8,12,40,35
2019-11-10,8,10,21,21
2019-11-11,7,12,13,43
2019-11-12,7,12,14,46
2019-11-13,7,11,58,89
2019-11-14,7,8,53,57
2019-11-15,6,8,25,34
2019-11-16,13,16,69,56
2019-11-17,14,14,64,48
2019-11-18,11,14,70,83
2019-11-19,9,13,36,14
2019-11-20,10,17,21,14
2019-11-21,14,19,37,20
2019-11-22,10,14,33,16
2019-11-23,15,16,50,48
2019-11-24,20,23,34,25
2019-11-25,8,14,19,27
2019-11-26,12,28,16,11
2019-11-27,6,10,11,38
2019-11-28,11,14,54,120
2019-11-29,26,28,68,21
2019-11-30,17,24,18,9
2019-12-01,9,12,23,31
2019-12-02,15,20,125,144
2019-12-03,21,24,154,50
2019-12-04,22,26,220,119
2019-12-05,17,23,162,89
2019-12-06,7,14,12,36
2019-12-07,11,18,44,45
2019-12-08,10,21,6,16
2019-12-09,13,25,45,67
2019-12-10,9,20,10,21
2019-12-11,7,11,18,73
2019-12-12,8,16,13,27
2019-12-13,10,18,12,31
2019-12-14,9,21,10,17
2019-12-15,7,16,8,13
2019-12-16,17,28,156,107
2019-12-17,19,25,164,127
2019-12-18,9,20,23,11
2019-12-19,11,25,20,10
2019-12-20,7,10,25,52
2019-12-21,14,24,27,24
2019-12-22,8,15,7,23
2019-12-23,9,19,16,31
2019-12-24,11,24,9,26
2019-12-25,7,10,24,30
2019-12-26,9,22,5,11
2019-12-27,13,23,24,26
2019-12-28,14,18,29,11
2019-12-29,15,17,27,12
2019-12-30,11,15,20,19
2019-12-31,18,22,28,14
2020-01-01,21,21,35,58
2020-01-02,9,17,14,12
