Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_1,PM2.5_2
2019-10-08,32,30,14,16,11,7
2019-10-09,41,39,10,9,7,6
2019-10-10,29,26,11,9,7,5
2019-10-11,35,31,10,10,6,6
2019-10-12,49,55,13,13,10,9
2019-10-13,36,71,12,11,10,10
2019-10-14,65,109,12,17,10,9
2019-10-15,50,77,10,9,9,7
2019-10-16,69,90,15,15,10,9
2019-10-17,94,126,19,19,13,11
2019-10-18,60,87,11,10,8,8
2019-10-19,52,75,9,9,7,8
2019-10-20,19,45,7,10,5,7
2019-10-21,59,89,11,13,8,7
2019-10-22,68,75,15,17,11,11
2019-10-23,106,125,24,24,19,15
2019-10-24,145,143,26,26,20,18
2019-10-25,82,137,13,12,10,9
2019-10-26,47,95,6,8,7,6
2019-10-27,30,39,10,11,8,6
2019-10-28,63,115,11,18,8,8
2019-10-29,30,111,9,20,6,7
2019-10-30,44,101,14,21,10,9
2019-10-31,57,119,24,32,20,18
2019-11-01,84,145,22,21,20,18
2019-11-02,53,81,22,23,20,19
2019-11-03,54,68,32,31,30,26
2019-11-04,57,123,26,27,24,23
2019-11-05,36,71,13,16,10,10
2019-11-06,103,154,27,31,22,20
2019-11-07,30,88,12,12,9,8
2019-11-08,44,84,8,11,7,7
2019-11-09,75,119,17,26,15,14
2019-11-10,49,96,13,23,12,11
2019-11-11,46,42,9,8,9,5
2019-11-12,35,42,7,6,6,4
2019-11-13,88,122,14,16,13,11
2019-11-14,21,58,8,12,6,5
2019-11-15,32,85,10,12,9,8
2019-11-16,43,94,8,9,8,7
2019-11-17,33,72,8,11,7,9
2019-11-18,67,112,10,20,8,8
2019-11-19,178,211,31,34,26,23
2019-11-20,85,151,25,28,20,19
2019-11-21,66,122,26,29,20,19
2019-11-22,49,115,20,21,17,16
2019-11-23,45,88,20,19,15,14
2019-11-24,57,95,36,36,33,27
2019-11-25,60,114,20,20,19,17
2019-11-26,100,136,23,18,20,13
2019-11-27,54,97,15,14,12,10
2019-11-28,47,93,9,10,8,7
2019-11-29,108,165,13,17,12,12
2019-11-30,142,146,22,22,19,17
2019-12-01,64,99,14,14,12,12
2019-12-02,64,77,12,10,10,9
2019-12-03,74,75,16,15,13,12
2019-12-04,75,79,19,17,16,15
2019-12-05,38,32,15,11,10,8
2019-12-06,33,30,8,5,6,5
2019-12-07,32,30,10,8,7,5
2019-12-08,15,14,10,10,7,5
2019-12-09,74,91,12,17,9,8
2019-12-10,55,54,13,11,9,7
2019-12-11,67,72,13,13,10,8
2019-12-12,82,134,15,14,13,10
2019-12-13,45,60,8,7,7,5
2019-12-14,34,38,11,11,8,6
2019-12-15,36,38,7,5,6,5
2019-12-16,86,120,13,14,11,11
2019-12-17,223,236,29,27,27,22
2019-12-18,92,147,21,20,18,17
2019-12-19,52,75,14,12,10,8
2019-12-20,72,106,16,15,12,10
2019-12-21,70,108,16,15,15,13
2019-12-22,54,68,15,14,13,13
2019-12-23,31,31,12,14,8,7
2019-12-24,47,61,12,9,10,7
2019-12-25,45,50,14,16,10,12
2019-12-26,31,63,16,20,14,12
2019-12-27,52,71,20,20,20,17
2019-12-28,85,102,22,24,20,17
2019-12-29,53,54,18,19,17,14
2019-12-30,36,38,14,16,13,11
2019-12-31,83,101,20,21,14,13
2020-01-01,48,62,32,33,30,27
2020-01-02,29,31,11,10,10,8
2020-01-03,31,35,14,18,10,7
2020-01-04,28,24,10,12,8,6
2020-01-05,26,21,11,9,10,7
2020-01-06,28,23,12,13,9,6
2020-01-07,30,24,15,13,9,6
2020-01-08,56,65,24,29,14,13
2020-01-09,43,67,10,12,7,8
2020-01-10,56,72,11,13,9,7
2020-01-11,18,17,6,4,6,No data
2020-01-12,41,62,10,10,10,8
2020-01-13,46,59,12,10,9,7
2020-01-14,43,39,10,9,8,5
2020-01-15,39,33,11,13,7,6
