Date,PM10,PM2.5,NOx
2020-11-28,31,26,36
2020-11-29,25,22,11
2020-11-30,17,13,13
2020-12-01,17,9,14
2020-12-02,18,13,34
2020-12-03,8,6,12
2020-12-04,5,3,14
2020-12-05,20,17,54
2020-12-06,30,26,63
2020-12-07,14,12,27
2020-12-08,17,15,46
2020-12-09,15,12,33
2020-12-10,14,10,17
2020-12-11,11,9,22
2020-12-12,14,12,23
2020-12-13,8,5,8
2020-12-14,9,5,8
2020-12-15,10,6,14
2020-12-16,10,7,9
2020-12-17,10,6,15
2020-12-18,8,6,7
2020-12-19,9,6,7
2020-12-20,8,5,8
2020-12-21,6,4,10
2020-12-22,10,7,33
2020-12-23,7,5,22
2020-12-24,8,4,7
2020-12-25,9,6,9
2020-12-26,5,4,6
2020-12-27,7,4,7
2020-12-28,11,9,19
2020-12-29,16,14,14
2020-12-30,15,13,20
2020-12-31,38,34,31
2021-01-01,24,22,21
2021-01-02,12,9,13
2021-01-03,7,5,15
2021-01-04,8,4,8
2021-01-05,8,4,9
2021-01-06,7,4,16
2021-01-07,13,11,20
2021-01-08,22,20,31
2021-01-09,18,15,33
2021-01-10,18,17,12
2021-01-11,7,6,9
2021-01-12,9,5,12
2021-01-13,25,21,36
2021-01-14,9,7,15
2021-01-15,14,11,34
2021-01-16,12,10,15
2021-01-17,13,8,10
2021-01-18,10,7,13
2021-01-19,4,3,6
2021-01-20,7,5,5
2021-01-21,6,3,7
2021-01-22,12,8,17
2021-01-23,15,13,13
2021-01-24,18,16,16
2021-01-25,11,8,17
2021-01-26,10,8,21
2021-01-27,17,14,31
2021-01-28,11,8,22
2021-01-29,9,6,11
2021-01-30,9,4,6
2021-01-31,12,7,12
2021-02-01,22,18,37
2021-02-02,11,8,16
2021-02-03,9,6,17
2021-02-04,13,9,18
2021-02-05,17,14,27
2021-02-06,19,16,17
2021-02-07,18,9,5
2021-02-08,12,6,6
2021-02-09,9,4,12
2021-02-10,5,3,15
2021-02-11,9,6,18
2021-02-12,13,9,12
2021-02-13,11,6,10
2021-02-14,15,9,9
2021-02-15,16,13,19
2021-02-16,11,8,13
2021-02-17,No data,No data,No data
2021-02-18,No data,No data,No data
2021-02-19,11,7,9
2021-02-20,34,14,9
2021-02-21,23,14,14
2021-02-22,34,24,27
2021-02-23,16,12,10
2021-02-24,13,7,10
2021-02-25,13,8,16
2021-02-26,19,13,26
2021-02-27,29,24,30
2021-02-28,19,17,26
2021-03-01,15,12,12
2021-03-02,37,32,19
2021-03-03,32,28,14
2021-03-04,11,8,7
2021-03-05,14,8,14
2021-03-06,13,10,17
2021-03-07,28,24,12
2021-03-08,29,24,16
2021-03-09,20,16,13
2021-03-10,16,13,8
2021-03-11,7,4,4
2021-03-12,8,4,5
2021-03-13,7,4,5
2021-03-14,6,4,5
2021-03-15,8,5,9
2021-03-16,16,10,9
2021-03-17,25,14,7
2021-03-18,10,6,8
2021-03-19,6,3,9
2021-03-20,8,6,8
2021-03-21,18,12,10
2021-03-22,23,17,18
2021-03-23,26,20,21
2021-03-24,25,20,14
2021-03-25,13,9,11
2021-03-26,9,5,10
2021-03-27,11,6,6
2021-03-28,11,7,6
2021-03-29,12,8,11
2021-03-30,28,18,37
2021-03-31,58,40,48
2021-04-01,22,14,7
2021-04-02,12,6,4
2021-04-03,20,9,4
2021-04-04,15,9,5
2021-04-05,12,6,3
2021-04-06,9,4,9
2021-04-07,11,5,9
2021-04-08,11,6,9
2021-04-09,10,6,10
2021-04-10,8,4,7
2021-04-11,6,3,7
2021-04-12,9,6,11
2021-04-13,21,13,26
2021-04-14,12,8,15
2021-04-15,6,3,10
2021-04-16,9,6,14
2021-04-17,7,4,10
2021-04-18,9,6,8
2021-04-19,20,14,10
2021-04-20,28,22,26
2021-04-21,25,15,10
2021-04-22,18,8,16
2021-04-23,42,10,24
2021-04-24,13,9,17
2021-04-25,9,5,5
2021-04-26,11,5,8
2021-04-27,25,12,22
2021-04-28,24,10,10
2021-04-29,11,6,6
2021-04-30,13,9,14
2021-05-01,13,10,12
2021-05-02,11,9,9
2021-05-03,11,7,6
2021-05-04,4,3,5
2021-05-05,6,4,8
2021-05-06,8,6,13
2021-05-07,10,8,10
2021-05-08,9,7,11
